t,s,ey,lo,up,v,v_ref,ax,delta,throttle,brake,steer
47,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,7.197085925386437e-08,6.0,nan,0.6334038966905757,1.0,0.0,1.0
48,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,6.267098521232383e-08,6.0,nan,0.6334038975823398,1.0,0.0,1.0
49,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,7.640062308218685e-08,6.0,nan,0.6334038962658063,1.0,0.0,1.0
50,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,4.762211772510562e-08,6.0,nan,0.6334038990253752,1.0,0.0,1.0
51,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,5.950030192837703e-08,6.0,nan,0.633403897886377,1.0,0.0,1.0
52,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,0.0,6.0,nan,0.6334039035918569,1.0,0.0,1.0
53,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,4.932921723636912e-08,6.0,nan,0.6334038988616812,1.0,0.0,1.0
54,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,4.969410020954453e-08,6.0,nan,0.6334038988266927,1.0,0.0,1.0
55,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,4.249225438998968e-08,6.0,nan,0.633403899517277,1.0,0.0,1.0
56,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,4.248035579229318e-08,6.0,nan,0.6334038995184182,1.0,0.0,1.0
57,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,5.8188385515094744e-09,6.0,nan,0.6334039030338889,1.0,0.0,1.0
58,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,4.411504066255126e-08,6.0,nan,0.6334038993616682,1.0,0.0,1.0
59,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,2.0082245764716313e-08,6.0,nan,0.6334039016661716,1.0,0.0,1.0
60,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,1.2339123251823325e-08,6.0,nan,0.633403902408659,1.0,0.0,1.0
61,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,1.560881759524897e-08,6.0,nan,0.6334039020951281,1.0,0.0,1.0
62,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,3.544780266715026e-08,6.0,nan,0.6334039001927693,1.0,0.0,1.0
63,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,2.8589729656371194e-08,6.0,nan,0.6334039008503897,1.0,0.0,1.0
64,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,1.188575521287222e-08,6.0,nan,0.6334039024521327,1.0,0.0,1.0
65,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,7.122526478743359e-09,6.0,nan,0.6334039029088784,1.0,0.0,1.0
66,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,3.569645213312967e-08,6.0,nan,0.6334039001689262,1.0,0.0,1.0
67,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,4.80622098923305e-08,6.0,nan,0.6334038989831745,1.0,0.0,1.0
68,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,1.7510336117944554e-08,6.0,nan,0.633403901912792,1.0,0.0,1.0
69,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,1.648053132518477e-09,6.0,nan,0.633403903433825,1.0,0.0,1.0
70,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,7.537382459862627e-09,6.0,nan,0.6334039028690978,1.0,0.0,1.0
71,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,3.806248523258018e-08,6.0,nan,0.6334038999420478,1.0,0.0,1.0
72,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,2.5433083830862946e-08,6.0,nan,0.6334039011530801,1.0,0.0,1.0
73,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,6.24361139338364e-09,6.0,nan,0.6334039029931571,1.0,0.0,1.0
74,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,1.1003943716850548e-08,6.0,nan,0.6334039025366894,1.0,0.0,1.0
75,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,4.70255273962289e-08,6.0,nan,0.633403899082582,1.0,0.0,1.0
76,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,3.551913219054681e-08,6.0,nan,0.6334039001859297,1.0,0.0,1.0
77,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,6.746133489819234e-09,6.0,nan,0.6334039029449704,1.0,0.0,1.0
78,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,2.8811252604970247e-08,6.0,nan,0.6334039008291479,1.0,0.0,1.0
79,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,2.871040325102404e-08,6.0,nan,0.6334039008388184,1.0,0.0,1.0
80,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,3.849399478366696e-08,6.0,nan,0.6334038999006701,1.0,0.0,1.0
81,0.0,-0.00011251840328180274,11.729330062866211,18.329303741455078,4.194692616224502e-09,6.0,nan,0.6334039031896279,1.0,0.0,1.0
