t,s,ey,lo,up,v,v_ref,ax,delta,throttle,brake,steer
152,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
153,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
154,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
155,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
156,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
157,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
158,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
159,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
160,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
161,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
162,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
163,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
164,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
165,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
166,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
167,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
168,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
169,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
170,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
171,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
172,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
173,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
174,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
175,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
176,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
177,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
178,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
179,53.27346426104701,1.325933433618718,-5.149999999999993,1.6000000000000227,0.0,32.0,nan,0.0,0.0,1.0,0.0
